CardNumber,Date,Description,MCC_Cd,Amount,Type,Status,Transaction_ID,Carbon_Calc_f
5014-8505-5363-2260,2022-03-12,South African Airway ,3017,3009,Debit,Cleared,84e45937-dea9-460e-a10d-bfc81138aaf4,N
3873-1011-7884-4651,2022-04-07,Varig (Brazil),3018,1717,Credit,Cleared,cd8e9c8a-f3fd-4055-a901-bd671cbd3a1d,N
6103-0803-7667-1634,2022-04-15,Air India,3020,302,Credit,Cleared,7a84564e-5e58-4ca0-9e4b-00b5f4df626d,N
3446-0204-0520-0856,2022-05-01,Air Algerie,3021,2866,Credit,Cleared,ae5af051-2664-4d18-8f0b-39ee50a6bbd7,N
6525-6177-1224-4636,2022-04-29,PAL AIR,3022,2440,Credit,Cleared,9084cded-1fc4-4b19-b03d-e92091430f91,N
6268-4104-8135-8547,2022-05-10,Mexicana,3023,2140,Debit,Cleared,45f935f1-9815-43b0-933d-9b6a09c0b619,N
6422-6200-5583-3432,2022-03-05,Pakistan International,3024,1685,Debit,Cleared,a15efe71-d277-429c-b275-81c4810afed1,N
2728-7313-5247-8151,2022-03-16,Air New Zealand Ltd. ,3025,2144,Debit,Cleared,76f6bac0-8e69-4f8c-8119-f4e2d248a231,N
5574-6710-1602-3845,2022-03-07,Emirates Airlines,3026,1887,Debit,Cleared,c01841c5-ce78-4ea7-bb0f-2d391c3ba6f4,N
1114-1286-2836-3057,2022-02-15,UTA/InterAir,3027,825,Debit,Cleared,acbf2a1f-ed66-44bc-9784-e03ef24ac500,N
3234-0650-4404-1172,2022-03-29,Air Malta,3028,1558,Debit,Cleared,d311d366-93b4-4f06-8352-3304a0ccafb5,N
8282-4771-5114-6578,2022-05-19,SN Brussels Airlines - SN BRUSSELS,3029,2174,Credit,Cleared,73a39e74-5abc-4f3f-94c8-2cb48645623f,N
4038-7060-5125-8207,2022-04-19,Aerolineas Argentinas ,3030,3747,Debit,Cleared,45315e71-ec08-4aee-909f-7354d8e2edb6,N
6023-5271-2723-4718,2022-03-26,Olympic Airways,3031,3186,Debit,Cleared,0f0f4c6a-4f77-4ea0-9e45-b61e06c6df8c,N
8436-1032-3354-5256,2022-02-28,El Al,3032,801,Credit,Cleared,a8b05adb-46a7-41fe-9f90-27ee8d214ec1,N
0373-1428-2370-0035,2022-03-05,Ansett Airlines ,3033,2762,Credit,Cleared,1d298eed-7203-4790-ac51-ccf1f1c7aa5c,N
0754-3261-0745-8353,2022-04-27,ETIHADAIR,3034,2269,Debit,Cleared,77b4893f-7b97-4e8e-b428-212366728ee1,N
4265-4481-6624-5584,2022-02-20,TAP (Portugal) ,3035,2675,Credit,Cleared,6004d677-0239-4191-b15e-7f2a3902f412,N
5150-6376-4178-0685,2022-04-07,VASP (Brazil),3036,904,Debit,Cleared,79e9e9ba-4d62-4a3d-95b3-229dd7ea2159,N
1283-5710-1470-8321,2022-02-19,EgyptAir,3037,2120,Debit,Processing,4782b413-da1a-444b-af74-74c4c96d8fce,N
6888-6464-5850-1282,2022-05-03,Kuwait Airways ,3038,941,Debit,Cleared,4ac05f32-fc13-489d-a707-30e45a35d727,N
5022-8318-8036-5438,2022-03-28,Avianca,3039,4,Credit,Cleared,0d1f33e6-d493-48a0-a6e0-a75a9963e896,N
5753-3703-5208-0576,2022-03-22,GulfAir (Bahrain) ,3040,826,Credit,Cleared,609df4cc-36cc-4ae8-b759-67402db85fb9,N
7050-8348-2865-2376,2022-03-11,Balkan-Bulgarian ,3041,3644,Debit,Cleared,ae3724e8-6c19-4112-b21f-d2c488ac9f94,N
8212-3112-7560-1582,2022-02-16,FinnAir,3042,3103,Credit,Cleared,608d3cf8-d01c-4e9b-a367-98ee3decc127,N
1627-6537-8884-3428,2022-04-30,Aer Lingus,3043,3238,Credit,Cleared,ac812a5a-7b0d-4ce2-9c57-e54cc7ffe8f1,N
2230-3314-3361-3488,2022-05-13,Air Lanka,3044,3637,Debit,Cleared,28daf2ec-8818-4a1c-8645-0820d89125fe,N
3857-1447-6225-5173,2022-04-27,Nigeria Airways ,3045,1197,Debit,Cleared,b7722d6f-d553-441d-9c5e-66f95ceba643,N
6573-1753-6586-3283,2022-04-26,Cruzeiro do Sul (Bra),3046,3329,Debit,Cleared,5bb5a167-d6fe-4947-88ec-cbb788fb7e5c,N
0373-1428-2370-0035,2022-02-28,THY (Turkey),3047,2778,Debit,Cleared,fe3c0f80-a70d-41e1-acfd-bcd7d86b4c2b,N
1532-0037-7363-6872,2022-03-28,Royal Air Maroc ,3048,1558,Debit,Cleared,1a718681-0dfd-4cdb-b380-7802f0cd0365,N
6023-5271-2723-4718,2022-02-15,Tunis Air,3049,3691,Credit,Cleared,3dd72ce7-7e47-42f3-80d9-0d487833cc09,N
0237-1003-1471-2015,2022-03-30,Icelandair,3050,3507,Debit,Cleared,205626b0-0e68-4c89-825f-e89b6a3b8391,N
4265-4481-6624-5584,2022-05-10,Austrian Airlines ,3051,694,Debit,Cleared,4650f20c-1be3-43ac-bee6-d9084e2b05f4,N
7773-4107-2232-5535,2022-04-25,LANAIR,3052,3927,Credit,Cleared,81b8d4d4-910b-4231-b258-db47c964b4cf,N
2632-3710-8458-8750,2022-03-06,AVIACO (Spain) ,3053,508,Debit,Processing,82d91223-63a7-4789-a62a-d9ba2cc5c3c2,N
2301-4826-6816-0315,2022-05-03,Ladeco (Chile) ,3054,2443,Debit,Cleared,6c091ede-9bae-4ba7-aee7-312b042bc538,N
5150-6376-4178-0685,2022-02-22,LAB (Bolivia) ,3055,144,Credit,Cleared,dc1381a3-21ee-462b-b8c8-a0ed06d0ba15,N
6023-5271-2723-4718,2022-04-16,JetAir,3056,1188,Credit,Cleared,7f750438-cacd-4d9f-970d-77658902c9ad,N
0143-3057-0734-0500,2022-04-21,Virgin America – VIR AMER,3057,3543,Credit,Cleared,f49a6020-957a-47d0-8220-3843cd427e4d,N
0363-6237-2162-3151,2022-03-02,Delta,3058,642,Credit,Cleared,6eb66db5-314f-41e9-b83d-ce69b9474abb,N
2187-5166-8816-7885,2022-03-19,DBA Airlines-DBA AIR,3059,3127,Debit,Cleared,838e0083-67e0-47f9-b960-3c34ef544594,N
5574-6710-1602-3845,2022-03-14,NWA Air,3060,3743,Debit,Cleared,2fba989e-25c5-443f-9dc1-5cad6644a70b,N
5022-8318-8036-5438,2022-03-24,Continental,3061,1028,Debit,Cleared,08b3927d-6f97-466a-932c-7a3b866fd85b,N
6520-4224-1523-4421,2022-04-29,Hapag-Lloyd Express - HLX,3062,338,Credit,Cleared,aaf7d8c6-450b-4790-a17e-15b41c2affcc,N
7614-2737-1372-6813,2022-04-02,US Airways,3063,433,Credit,Cleared,b421b943-9565-4a00-96e7-3524fa95c2b3,N
1127-7723-5843-6440,2022-04-07,Adria Airways,3064,6,Debit,Cleared,ff06c721-b332-4a8f-8923-cc5b399cd3cd,N
4202-2185-3016-1605,2022-05-05,Airinter (AirInternational),3065,2566,Credit,Cleared,10717fec-f99e-45b1-8861-926ff35a4b70,N
4056-8121-6765-2045,2022-02-17,Southwest,3066,3969,Credit,Cleared,5598a635-e753-4483-aee8-3b5f972fada8,N
8421-4157-4756-7652,2022-05-19,AIR STANA,3068,1935,Debit,Cleared,b1dfcef3-e701-48a3-b8a4-6a524713c2db,N
0754-3261-0745-8353,2022-04-12,Sun Country Air,3069,3388,Credit,Cleared,57b3d0f7-88af-46b1-aa59-dc69a11b096c,N
1822-3823-4557-5623,2022-02-24,Pacific Southwest Airlines (PSA),3070,1939,Debit,Cleared,15639c56-53d7-4266-8cbe-fd4a0b890b26,N
2207-4401-2664-3036,2022-03-16,Air British Columbia ,3071,1200,Debit,Cleared,58ab513c-10a0-4228-a9ca-4fe8b7d5a282,N
6520-4224-1523-4421,2022-03-12,CEBU PAC,3072,3834,Credit,Cleared,19c67ae9-73d1-44ec-bfa3-ee889060f93f,N
1708-2261-7773-7658,2022-03-16,Air Cal,3073,1970,Debit,Cleared,cd1baf55-4590-4761-9e9b-f81e60b61688,N
4837-7356-8265-4327,2022-04-02,Singapore Airlines,3075,2069,Debit,Cleared,7f5a989f-921c-4166-9c34-34850049672c,N
1627-6537-8884-3428,2022-03-28,Aeromexico,3076,404,Debit,Cleared,c8950bcc-9019-4ff4-a94d-ba5cbd7394d6,N
3857-1447-6225-5173,2022-03-15,Thai Airways,3077,3612,Credit,Cleared,bccc1b15-fb5a-4029-b566-e51cc90ee3b7,N
4475-8677-4266-3710,2022-05-10,China Airlines,3078,2916,Credit,Cleared,3c338a4d-cccf-4c46-89a6-80b04c5cac1d,N
5112-5401-3048-6385,2022-02-21,Jetstar Airways - Jetstar,3079,2596,Debit,Cleared,874ca21b-bb31-46cd-b617-138a6010bb77,N
3234-0650-4404-1172,2022-05-16,Korean Airlines,3082,2629,Debit,Cleared,201b15be-5edb-4b6b-8067-2c60ade25e20,N
3873-1011-7884-4651,2022-04-18,Air Afrique,3083,215,Credit,Cleared,cf51fc78-f107-4a6b-b1e5-3f2aac5bdaeb,N
5150-6376-4178-0685,2022-04-17,Eva Airlines,3084,2517,Debit,Cleared,5259651d-cd06-4cbe-a8dd-6004269ae1df,N
8030-1321-5778-0363,2022-05-13,"Midwest Express Airlines, Inc",3085,680,Credit,Hold,73eb0484-dea6-4550-b688-d2397c459bde,N
1532-0037-7363-6872,2022-04-04,Metro Airlines,3087,3785,Debit,Cleared,450b89cf-7fb2-4fde-8e34-eed075396a5c,N
1708-2261-7773-7658,2022-03-08,Tans Saero,3089,785,Debit,Cleared,054c9bdc-8c2d-4d46-b1b9-b43ab4c83425,N
3221-7806-4080-6767,2022-03-24,Uni Airways,3090,1867,Credit,Cleared,7c5e5f67-669d-4402-9518-a20a4880dce7,N
6475-8717-0285-1214,2022-04-11,Zambia Airways,3094,657,Credit,Cleared,307a5f6e-3595-416f-b3df-85fa5bb21525,N
1177-4547-0278-4503,2022-03-04,Air Zimbabwe,3096,2994,Credit,Cleared,a4865cb6-beed-4907-abb4-94c00a2b8851,N
2627-5561-2003-6528,2022-03-02,Spanair (abbreviation: SPANAIR),3097,3259,Credit,Cleared,82f6798c-8a08-4c56-a505-8d0c758219e0,N
0373-1428-2370-0035,2022-02-19,Asiana Airlines,3098,606,Debit,Cleared,2346abcb-84d7-4be9-8da9-4a883b4674c4,N
1347-6154-0216-7255,2022-02-15,Cathay Pacific,3099,3304,Credit,Cleared,ce85c373-08f7-4311-9174-15f681df5444,N
1710-0781-4286-7831,2022-05-01,Malaysian Airline Sys,3100,155,Debit,Cleared,98dbba53-bd22-4682-93d6-e6655c99a48f,N
6560-1330-8228-6141,2022-03-13,Iberia,3102,2806,Credit,Cleared,34cc54ad-130c-4e04-bcc4-f1aeca81a15f,N
6888-6464-5850-1282,2022-05-03,Garuda (Indonesia),3103,165,Credit,Cleared,e5ef0067-6e7c-4120-a994-30dfeb6c5325,N
8030-1321-5778-0363,2022-04-01,Piedmont,3105,371,Debit,Cleared,47bdd326-75a3-4da2-8248-4d33ef54836f,N
0143-3057-0734-0500,2022-04-08,Braathens S.A.F.E. (Norway) ,3106,637,Debit,Cleared,48394fc0-aa9d-4609-853e-4682c5711554,N
4202-2185-3016-1605,2022-02-17,British Midland,3111,3190,Debit,Cleared,86304d98-ee76-4c2c-acd1-7cd7351e6be7,N
5574-6710-1602-3845,2022-03-03,Windward Island,3112,3632,Credit,Cleared,894a1d58-40bc-4c1c-aea9-749823b2500e,N
0412-4446-5072-7874,2022-04-02,Venezolana Int de Aviacion ,3117,2588,Credit,Cleared,950de73b-087a-4eed-8be1-d70c90f6f08d,N
6057-5114-2211-7264,2022-05-19,Tan Airlines,3125,2225,Credit,Cleared,40e9dc1f-66d0-4ff3-b9c7-693d4d84d913,N
6057-5114-2211-7264,2022-04-30,Taca International,3127,925,Debit,Rejected,de7de817-9d90-4e7a-b599-3528a7441dc7,N
5546-5631-0824-4631,2022-03-09,Surinam Airways,3129,3909,Credit,Cleared,31d8a7f8-6ccb-466b-81b2-343aa060891f,N
6520-4224-1523-4421,2022-04-02,Sunworld International Airways,3130,2381,Debit,Cleared,b291c01c-a8fd-43bc-b817-ddff4779e455,N
6560-1330-8228-6141,2022-03-27,VLM Air,3131,3319,Credit,Cleared,42356f13-a39b-4bd1-970f-d375ee7c144a,N
1177-4547-0278-4503,2022-02-20,Frontier Airlines,3132,2418,Debit,Cleared,9c873d07-56c1-4a4f-a801-b87869efe584,N
2848-1740-5562-4041,2022-04-29,Sudan Airlines,3135,3066,Debit,Processing,f57a002d-4dd1-420d-a4bf-876bc3682142,N
3435-4127-8278-2304,2022-03-03,Qatar Air,3136,3382,Debit,Cleared,96ccea8a-3227-43b7-b22b-a738db049aef,N
7474-2421-1771-5866,2022-03-20,Seair Alaska,3141,285,Credit,Cleared,479da743-96ab-491d-b07c-72171edd06bf,N
5261-2371-4307-3162,2022-04-12,Virgin Atlantic,3144,1614,Credit,Cleared,62feda5b-75f5-4e99-9f9e-2b79e376b957,N
8333-3307-1872-8720,2022-04-10,Luxair,3146,1706,Debit,Cleared,53b788e3-9f3e-4f79-9720-a99b08a8d432,N
5150-6376-4178-0685,2022-03-26,Air Littoral SA,3148,959,Debit,Cleared,4668c370-1250-47a1-96ac-e73165b61cb3,N
0022-1236-4331-4884,2022-02-28,Air Laire,3151,3966,Credit,Cleared,1d69f631-f615-4e82-988f-fcc18cf766ef,N
3873-1011-7884-4651,2022-03-04,Go Fly,3156,1836,Debit,Cleared,fbc76a15-cbbb-4079-a9c6-502ebbc21506,N
7584-8057-3330-8243,2022-02-21,PBA-Provincetwn-Bstn Air,3159,2724,Credit,Cleared,2dfd161b-85c3-4bd7-a026-5f5eb4270a2d,N
1627-6537-8884-3428,2022-03-14,All Nippon Airways ,3161,1707,Debit,Cleared,7d928028-b094-44f4-a43a-fb1debfb4e8d,N
5022-8318-8036-5438,2022-04-17,Norontair,3164,2187,Debit,Cleared,e08dd280-9acc-4e4a-b83f-5935ad515a24,N
6687-3637-6826-1683,2022-05-18,Aero Continente - AEROCONTINENTE,3167,2568,Credit,Cleared,92c325fa-ca18-45af-bc4d-be7b15212b93,N
6422-6200-5583-3432,2022-04-17,Canadian Airlines ,3171,195,Credit,Cleared,d72e1693-f1ba-44c4-8786-1f4b75868e45,N
7584-8057-3330-8243,2022-03-25,Nation Air,3172,1638,Credit,Cleared,79ab98fa-1877-4016-aab3-7ec734341240,N
7742-5634-4653-4660,2022-05-14,JetBlue Airways,3174,3272,Debit,Cleared,f92c4d77-a5ec-421f-b20d-c2f349751302,N
5324-5333-3713-1745,2022-05-19,Middle East Air,3175,2316,Credit,Cleared,fa56c9ce-8498-47b3-87a5-21f69979f2a9,N
6888-6464-5850-1282,2022-04-20,AirTran Airways,3177,3393,Debit,Cleared,9c05d7de-192f-4a20-8863-88677c151575,N
7140-5836-4713-2233,2022-03-17,Mesa Air,3178,2705,Credit,Cleared,06594c04-685d-404b-90ba-07ce977117b3,N
6525-6177-1224-4636,2022-02-19,Westjet Airlines-WESTJET,3180,1179,Debit,Cleared,7e17d6f5-568b-44f4-86b4-5dcb5fe46c45,N
4704-1545-0084-8177,2022-04-13,Malev Hungarian Airlines,3181,2747,Credit,Cleared,15d8bff1-a09a-4d64-8539-0f8957ff450c,N
8333-3307-1872-8720,2022-03-06,LOT (Poland),3182,1798,Debit,Cleared,624c5a0d-c218-4170-bbd9-3dfe1d95c714,N
2848-1740-5562-4041,2022-04-27,Oman Aviation - OMAN AIR,3183,1733,Debit,Cleared,74df16b5-7216-4fa8-aff9-cdceb7e4ce9b,N
5150-6376-4178-0685,2022-03-25,LIAT,3184,316,Debit,Cleared,3b589129-9784-4a6b-b187-abda10e90321,N
1671-0005-4252-2213,2022-02-28,LAV (Venezuela),3185,3787,Credit,Cleared,f3b1c9dc-6011-46ba-bb2d-f9c3c14c1ce2,N
8673-2441-5605-2407,2022-04-17,LAP (Paraguay),3186,624,Credit,Hold,9cc2f7be-de05-41a8-988e-5c72c7f41962,N
3221-7806-4080-6767,2022-02-24,LACSA (Costa Rica) ,3187,3573,Debit,Cleared,fe2438d3-5716-4d0b-bff1-2aef6b91d5f8,N
3221-7806-4080-6767,2022-05-17,Virgin Express - VIR EXP,3188,2449,Credit,Cleared,b1bcdc88-1233-4eb0-94ed-20a692e704d3,N
8030-1321-5778-0363,2022-05-02,Jugoslav Air,3190,503,Credit,Cleared,48106685-faa5-4fdc-969f-7a0866561a88,N
1162-2327-0452-3547,2022-04-11,Island Airlines,3191,3855,Credit,Cleared,288f1970-c31e-4c1d-85ed-263794cb2eca,N
1114-1286-2836-3057,2022-05-08,Indian Airlines,3193,607,Debit,Cleared,a4ddadde-196e-4fd7-9241-7b43e96df038,N
1162-2327-0452-3547,2022-05-12,Holiday Airlines,3195,127,Credit,Cleared,e29c466a-2d10-4f48-9731-e3aa959aa2e4,N
2848-1740-5562-4041,2022-04-02,Hawaiian Air,3196,52,Debit,Cleared,e5f11a57-cdaf-4793-9b74-e113a157084f,N
1634-5504-8266-4571,2022-03-27,Havasu Airlines,3197,2969,Debit,Cleared,f75743d2-8f8b-4d04-8125-d30f2b1faabb,N
6422-6200-5583-3432,2022-03-04,Harbor Airlines,3198,2622,Debit,Cleared,557c0b16-0381-454d-b618-32e059e73f79,N
8331-7455-0118-7251,2022-03-21,Servicios Aereos Militares,3199,15,Credit,Cleared,d208e85b-6ea0-4575-ad93-dc498ee1403f,N
0412-4446-5072-7874,2022-04-01,Guyana Airways,3200,1310,Credit,Cleared,3933794b-4de2-4dd5-9e3a-88ae7f751538,N
5022-8318-8036-5438,2022-04-10,Freedom Airlines,3204,1739,Credit,Cleared,248cc4be-e14e-4ff5-b311-f8bcb41b98d6,N
6268-4104-8135-8547,2022-04-05,China Eastern Airlines (Abbr: China East Air),3206,2427,Credit,Cleared,ab9bf708-538a-491f-8fa6-0e283cde9c59,N
7474-2421-1771-5866,2022-05-15,Empresa Ecuatoriana,3207,3203,Credit,Cleared,ccbffe91-5167-475f-b502-6418dcbd4f64,N
1127-7723-5843-6440,2022-03-09,Norwegian Air Shuttle - NORWEGIANAIR,3211,3821,Debit,Cleared,f01a41b5-1e65-4bc4-bee7-28d66c5424fb,N
1331-3717-0773-2487,2022-04-29,Dominicana de Aviacion,3212,1912,Credit,Cleared,e8d86903-1db7-4d01-bea6-a39cdb2a0cc8,N
7773-4107-2232-5535,2022-03-10,Malmo Aviation - MALMO AV,3213,949,Credit,Cleared,31d09e19-c255-4783-8aee-55b20d3f2edc,N
8520-3180-0072-7121,2022-03-11,CSA-Ceskoslovenske Aeroln,3217,19,Credit,Cleared,f35f3c6e-18e8-4b6a-9210-ef82e9717d57,N
6575-4613-6817-7234,2022-03-17,Copa,3219,2638,Debit,Cleared,901599da-3da0-49f6-8475-361d0ef2fd80,N
8673-2441-5605-2407,2022-05-09,Compania Faucett,3220,1116,Credit,Cleared,f3a9814f-013d-4e91-ae92-2407336a64e0,N
1532-0037-7363-6872,2022-05-02,Transportes Aeros Mil ,3221,2719,Credit,Cleared,33cf164f-6a1f-4f52-866b-33a1f9a4e99a,N
5156-3222-5835-4034,2022-02-27,Command Airways,3222,680,Credit,Cleared,e8be11d8-bc76-4aec-9831-879b3e4f801b,N
2513-7800-0438-1508,2022-03-16,Comair,3223,1745,Credit,Cleared,02b5bfef-e2f5-4b00-8c5b-998f2055e9f9,N
3234-0650-4404-1172,2022-04-08,Skyways  Air- SKYWAYS,3226,2959,Debit,Cleared,d174f3bd-64f5-46e1-bfc2-cfb7aa98c2f2,N
5112-5401-3048-6385,2022-05-08,Cayman Airways,3228,1387,Credit,Cleared,592e8ac5-3959-4f37-93bd-83040c9cd9dc,N
3221-7806-4080-6767,2022-03-23,SAETA,3229,1718,Debit,Cleared,9b150528-bfa6-41d8-845e-90a2db77c285,N
3873-1011-7884-4651,2022-02-24,SAHSA,3231,1845,Debit,Cleared,71302fe0-97ad-4d43-a297-6ee3c0e0a606,N
5156-3222-5835-4034,2022-04-16,CARIBAIR,3234,1884,Credit,Cleared,ea1c6197-080c-4098-b620-951df61b4c7e,N
0754-3261-0745-8353,2022-03-05,Air Arabia Airlines - Air Arab,3236,556,Credit,Cleared,1c97af09-0081-4e0c-aab1-50b595117519,N
5014-8505-5363-2260,2022-05-02,Bar Harbor Airlines ,3239,3665,Credit,Cleared,24badfec-bce2-4dc3-b5c4-1f04b5404dd9,N
5022-8318-8036-5438,2022-04-27,Bahamasair,3240,225,Credit,Cleared,60e8cfa9-1f09-4f62-9518-52344ce5443f,N
1347-6154-0216-7255,2022-04-03,Aviateca (Guatemala) ,3241,3077,Credit,Cleared,22e2747e-bd72-4662-8a5f-4c9eb2dc2f50,N
5546-5631-0824-4631,2022-02-16,Avensa,3242,2459,Credit,Cleared,5b47cc24-c8d5-414a-ac5b-fd45d89cc70e,N
8333-3307-1872-8720,2022-04-05,Austrian Air Service ,3243,1367,Credit,Cleared,2572592a-6c33-4981-a276-701df15ef636,N
8673-2441-5605-2407,2022-03-26,Easy Jet - EASYJET,3245,246,Credit,Cleared,3e364972-89e8-455c-af74-b39a8a9bc9a1,N
3435-4127-8278-2304,2022-04-30,Ryan Air - RYANAIR,3246,763,Credit,Cleared,15c85245-da7e-4160-9f64-80e0e630073a,N
6687-3637-6826-1683,2022-05-19,Gol Airlines - GOL,3247,543,Credit,Cleared,66be1d96-4cf8-4d01-b8ca-5f409cb9855a,N
5324-5333-3713-1745,2022-04-13,Tam Airlines - TAM,3248,3049,Debit,Cleared,2288a981-6be3-4997-b95b-09adda9f54fd,N
6525-6177-1224-4636,2022-04-23,ALM-Antilean Airlines,3252,1615,Debit,Cleared,8860889d-86e4-43f7-8066-ae3048c12b1d,N
2032-7430-2122-1158,2022-03-27,Alaska Airlines Inc.,3256,3888,Credit,Cleared,6b576ccf-1be2-4829-96ad-42a67d496972,N
8212-3112-7560-1582,2022-03-10,Spirit Airlines - SPIRIT,3260,1718,Debit,Cleared,3f1ebdd8-b781-4f17-a8aa-912f04c4fe00,N
3128-4025-2617-0310,2022-03-01,Air China,3261,201,Credit,Cleared,9d3ebd5b-be9d-4809-9caf-95ff97331831,N
6422-6200-5583-3432,2022-03-18,Aero Servicio Carabobo,3263,1684,Debit,Cleared,022d32b0-e645-4ec2-85e1-a00f30897fe0,N
3221-7806-4080-6767,2022-04-29,Air Seychelles,3266,2796,Credit,Cleared,33f7e241-7182-498f-8b60-ad121ed28793,N
5533-3112-6666-5865,2022-03-19,Air Panama International ,3267,3637,Credit,Cleared,b67f0685-9c52-424c-a555-39d612214808,N
7474-2421-1771-5866,2022-05-01,Air Pacific,3268,2463,Debit,Cleared,3dda934f-1521-4b50-bbbe-5df2efbee50b,N
6560-1330-8228-6141,2022-04-25,Air Nevada,3275,2442,Debit,Cleared,3d293831-b5cc-4fe6-8788-875a198ba424,N
5856-0057-8822-0177,2022-03-02,Air Midwest,3276,1610,Credit,Cleared,442b174d-2542-406f-a3dc-e1b9dd5eb5eb,N
4704-1545-0084-8177,2022-03-22,Air Madagascar,3277,2867,Debit,Cleared,5ea12566-d007-40ff-8e69-00063fd2d041,N
2187-5166-8816-7885,2022-03-15,Air LA,3279,3406,Debit,Cleared,7df50c93-8f45-4b73-bd08-5070c84616af,N
6520-4224-1523-4421,2022-05-07,Air Jamaica,3280,98,Credit,Cleared,29aadeb2-bc47-466b-8c69-bf1b0af4cf29,N
1283-5710-1470-8321,2022-05-10,Air Djibouti,3282,1221,Credit,Processing,5d491c93-29c8-4ca5-83f4-e533f42ffc09,N
